uniqueID	waterbody	sample	site	rep	band	rrs	sd
ClearLake_20190807-P3S1_3	ClearLake_20190807	P3S1_3	P3S1	3	b10_681	0.007570441267257395	2.201939948045495e-4
ClearLake_20190807-P3S1_3	ClearLake_20190807	P3S1_3	P3S1	3	b11_709	0.009268043074220338	7.469425050747821e-4
ClearLake_20190807-P3S2_1	ClearLake_20190807	P3S2_1	P3S2	1	b07_620	0.012371960492859786	2.4605673744928873e-4
ClearLake_20190807-P3S2_1	ClearLake_20190807	P3S2_1	P3S2	1	b08_665	0.008408842604524593	5.60746268514514e-4
ClearLake_20190807-P3S2_1	ClearLake_20190807	P3S2_1	P3S2	1	b10_681	0.007517602642041593	2.1476257214007006e-4
ClearLake_20190807-P3S2_1	ClearLake_20190807	P3S2_1	P3S2	1	b11_709	0.008981518034104182	7.496062264771529e-4
ClearLake_20190807-P3S2_2	ClearLake_20190807	P3S2_2	P3S2	2	b07_620	0.012490942186065264	2.5256399671776055e-4
ClearLake_20190807-P3S2_2	ClearLake_20190807	P3S2_2	P3S2	2	b08_665	0.008423405606817555	5.575797027551373e-4
ClearLake_20190807-P3S2_2	ClearLake_20190807	P3S2_2	P3S2	2	b10_681	0.007519857354559407	2.052009150238877e-4
ClearLake_20190807-P3S2_2	ClearLake_20190807	P3S2_2	P3S2	2	b11_709	0.008859676895119399	7.41191328502701e-4
ClearLake_20190807-P3S2_3	ClearLake_20190807	P3S2_3	P3S2	3	b07_620	0.012538675285805516	2.58766559176932e-4
ClearLake_20190807-P3S2_3	ClearLake_20190807	P3S2_3	P3S2	3	b08_665	0.008508065653435475	5.555358738895709e-4
ClearLake_20190807-P3S2_3	ClearLake_20190807	P3S2_3	P3S2	3	b10_681	0.007569279664023927	2.0567840050968454e-4
ClearLake_20190807-P3S2_3	ClearLake_20190807	P3S2_3	P3S2	3	b11_709	0.008844382298332691	7.425868222937813e-4
ClearLake_20190807-P3S3_1	ClearLake_20190807	P3S3_1	P3S3	1	b07_620	0.01327327114698754	2.808014303303427e-4
ClearLake_20190807-P3S3_1	ClearLake_20190807	P3S3_1	P3S3	1	b08_665	0.009059045317976307	6.026678050878317e-4
ClearLake_20190807-P3S3_1	ClearLake_20190807	P3S3_1	P3S3	1	b10_681	0.008052497644738999	2.1368165749451046e-4
ClearLake_20190807-P3S3_1	ClearLake_20190807	P3S3_1	P3S3	1	b11_709	0.009678743206570811	7.933300012528582e-4
ClearLake_20190807-P3S3_2	ClearLake_20190807	P3S3_2	P3S3	2	b07_620	0.013294221779418356	2.9529404780553994e-4
ClearLake_20190807-P3S3_2	ClearLake_20190807	P3S3_2	P3S3	2	b08_665	0.008982024578308982	5.938864797933115e-4
ClearLake_20190807-P3S3_2	ClearLake_20190807	P3S3_2	P3S3	2	b10_681	0.007950562686913638	2.0674672303576318e-4
ClearLake_20190807-P3S3_2	ClearLake_20190807	P3S3_2	P3S3	2	b11_709	0.009361634196322433	7.767280018392188e-4
ClearLake_20190807-P3S3_3	ClearLake_20190807	P3S3_3	P3S3	3	b07_620	0.012997550335083763	2.7927287782354785e-4
ClearLake_20190807-P3S3_3	ClearLake_20190807	P3S3_3	P3S3	3	b08_665	0.008892279198427815	5.958495721085454e-4
ClearLake_20190807-P3S3_3	ClearLake_20190807	P3S3_3	P3S3	3	b10_681	0.007877028766269148	2.113601828641803e-4
ClearLake_20190807-P3S3_3	ClearLake_20190807	P3S3_3	P3S3	3	b11_709	0.009546354551453749	7.793619995457954e-4
ClearLake_20190816-CL03C_1	ClearLake_20190816	CL03C_1	CL03C	1	b07_620	0.008479238203477889	1.6033684182578355e-4
ClearLake_20190816-CL03C_1	ClearLake_20190816	CL03C_1	CL03C	1	b08_665	0.005993222134232516	5.462704649223959e-4
ClearLake_20190816-CL03C_1	ClearLake_20190816	CL03C_1	CL03C	1	b10_681	0.005339995098405476	2.2926061121068833e-4
ClearLake_20190816-CL03C_1	ClearLake_20190816	CL03C_1	CL03C	1	b11_709	0.00851666461742414	6.172025941157807e-4
ClearLake_20190816-CL03C_2	ClearLake_20190816	CL03C_2	CL03C	2	b07_620	0.010584384578117681	1.9550950085193915e-4
ClearLake_20190816-CL03C_2	ClearLake_20190816	CL03C_2	CL03C	2	b08_665	0.007466589722221513	7.003911447361779e-4
ClearLake_20190816-CL03C_2	ClearLake_20190816	CL03C_2	CL03C	2	b10_681	0.006524336789007446	2.6416460971667385e-4
ClearLake_20190816-CL03C_2	ClearLake_20190816	CL03C_2	CL03C	2	b11_709	0.010890210077845774	7.466309076877019e-4
ClearLake_20190816-CL03C_3	ClearLake_20190816	CL03C_3	CL03C	3	b07_620	0.008384630377848855	1.5235608771353303e-4
ClearLake_20190816-CL03C_3	ClearLake_20190816	CL03C_3	CL03C	3	b08_665	0.00600434339793831	5.686046530681111e-4
ClearLake_20190816-CL03C_3	ClearLake_20190816	CL03C_3	CL03C	3	b10_681	0.00527571522784335	2.3416801781854112e-4
ClearLake_20190816-CL03C_3	ClearLake_20190816	CL03C_3	CL03C	3	b11_709	0.00894673735368419	6.224235664813609e-4
ClearLake_20190816-CL03C_4	ClearLake_20190816	CL03C_4	CL03C	4	b07_620	0.008940396335536956	1.649668086220101e-4
ClearLake_20190816-CL03C_4	ClearLake_20190816	CL03C_4	CL03C	4	b08_665	0.006358655872304329	6.139002219878924e-4
ClearLake_20190816-CL03C_4	ClearLake_20190816	CL03C_4	CL03C	4	b10_681	0.005536649043481042	2.4903549662015536e-4
ClearLake_20190816-CL03C_4	ClearLake_20190816	CL03C_4	CL03C	4	b11_709	0.009646649724627143	6.614952354989267e-4
ClearLake_20190816-CL03F_1	ClearLake_20190816	CL03F_1	CL03F	1	b07_620	0.009924515712749684	1.7932671627725447e-4
ClearLake_20190816-CL03F_1	ClearLake_20190816	CL03F_1	CL03F	1	b08_665	0.007193060673959581	7.4039306790516e-4
ClearLake_20190816-CL03F_1	ClearLake_20190816	CL03F_1	CL03F	1	b10_681	0.006368495532282874	3.4188786520036364e-4
ClearLake_20190816-CL03F_1	ClearLake_20190816	CL03F_1	CL03F	1	b11_709	0.011997589694441382	8.04622626594204e-4
ClearLake_20190816-CL03F_2	ClearLake_20190816	CL03F_2	CL03F	2	b07_620	0.010037019340538966	1.8612398724129423e-4
ClearLake_20190816-CL03F_2	ClearLake_20190816	CL03F_2	CL03F	2	b08_665	0.007040483364946764	7.007248771990194e-4
ClearLake_20190816-CL03F_2	ClearLake_20190816	CL03F_2	CL03F	2	b10_681	0.00624439345071705	3.1623465133790926e-4
ClearLake_20190816-CL03F_2	ClearLake_20190816	CL03F_2	CL03F	2	b11_709	0.011226073954263017	7.778788327101162e-4
ClearLake_20190816-CL03F_3	ClearLake_20190816	CL03F_3	CL03F	3	b07_620	0.009850683313513652	1.7769017956056576e-4
ClearLake_20190816-CL03F_3	ClearLake_20190816	CL03F_3	CL03F	3	b08_665	0.006995272608280723	6.450987380585816e-4
ClearLake_20190816-CL03F_3	ClearLake_20190816	CL03F_3	CL03F	3	b10_681	0.006381268327406834	3.1353789876744715e-4
ClearLake_20190816-CL03F_3	ClearLake_20190816	CL03F_3	CL03F	3	b11_709	0.010491354092903332	7.677819373935413e-4
ClearLake_20190816-LA03C_1	ClearLake_20190816	LA03C_1	LA03C	1	b07_620	0.01178312175606346	2.161459359570702e-4
ClearLake_20190816-LA03C_1	ClearLake_20190816	LA03C_1	LA03C	1	b08_665	0.007996804674059903	6.737774383586327e-4
