waterbody	sample	pix_site	pixel	site	rep	Lat	Lon	uniqueID	pix_FID	CInoncyano_pix_sat	CIcyano_pix_sat	CInoncyano_sat	CInoncyano_mod_sat	CIcyano_sat	CIcyano_mod_sat	CI_sat	CI_mod_sat	CI_field	ss665_field	CI_mod_field	CI_pix_field	ss665_threshold	date	lat	long	secchi_disappear_m	secchi_reappear_m	time	temp_C	pH	cond_us	DO_mgL	turb_ntu	chla_ugL	secchi_avg
ClearLake_20190807	P1S1_2	P1S1	P1	S1	2	38.978747479	-122.709869698	ClearLake_20190807-P1S1_2	977	0	117	6.309573444801929e-5	0.9972394401831456	0.0015995580286146678	25.281302562699974	0.0015995580286146678	25.281302562699974	0.002568919695113349	-1.1309457397806495e-4	40.602238186811604	134.14587736298145	<0	2019-08-07	38.97833	-122.70942	2.38	2.22	10:50:00	27.2	8.85	285.1	12.21	3.4	30.75	2.3
ClearLake_20190807	P1S1_3	P1S1	P1	S1	3	38.978747479	-122.709869698	ClearLake_20190807-P1S1_3	977	0	117	6.309573444801929e-5	0.9972394401831456	0.0015995580286146678	25.281302562699974	0.0015995580286146678	25.281302562699974	0.002422202275104178	-1.2528340109223702e-4	38.283342954431056	132.01753397619424	<0	2019-08-07	38.97833	-122.70942	2.38	2.22	10:50:00	27.2	8.85	285.1	12.21	3.4	30.75	2.3
ClearLake_20190807	P1S2_1	P1S2	P1	S2	1	38.978747479	-122.709869698	ClearLake_20190807-P1S2_1	977	0	117	6.309573444801929e-5	0.9972394401831456	0.0015995580286146678	25.281302562699974	0.0015995580286146678	25.281302562699974	0.002680702435291332	-1.5702541706500827e-4	42.36898451621786	135.68738407325984	<0	2019-08-07	38.97867	-122.70951	2.27	2.25	11:30:00	27.5	8.91	284.1	12.75	2.9	24.35	2.26
ClearLake_20190807	P1S2_2	P1S2	P1	S2	2	38.978747479	-122.709869698	ClearLake_20190807-P1S2_2	977	0	117	6.309573444801929e-5	0.9972394401831456	0.0015995580286146678	25.281302562699974	0.0015995580286146678	25.281302562699974	0.0021919623500033128	-1.560466752096529e-4	34.64435949502536	128.40275752214112	<0	2019-08-07	38.97867	-122.70951	2.27	2.25	11:30:00	27.5	8.91	284.1	12.75	2.9	24.35	2.26
ClearLake_20190807	P1S2_3	P1S2	P1	S2	3	38.978747479	-122.709869698	ClearLake_20190807-P1S2_3	977	0	117	6.309573444801929e-5	0.9972394401831456	0.0015995580286146678	25.281302562699974	0.0015995580286146678	25.281302562699974	0.0022208431725170936	-1.858033484767362e-4	35.10082609340372	128.87649095080934	<0	2019-08-07	38.97867	-122.70951	2.27	2.25	11:30:00	27.5	8.91	284.1	12.75	2.9	24.35	2.26
ClearLake_20190807	P1S3_1	P1S3	P1	S3	1	38.978747479	-122.709869698	ClearLake_20190807-P1S3_1	977	0	117	6.309573444801929e-5	0.9972394401831456	0.0015995580286146678	25.281302562699974	0.0015995580286146678	25.281302562699974	0.00209808281832436	-2.570356550882936e-4	33.16057659852381	126.81855227059495	<0	2019-08-07	38.97916	-122.70921	2.38	3.34	11:48:00	27.5	8.9	284.2	12.86	3.52	22.68	2.86
ClearLake_20190807	P1S3_2	P1S3	P1	S3	2	38.978747479	-122.709869698	ClearLake_20190807-P1S3_2	977	0	117	6.309573444801929e-5	0.9972394401831456	0.0015995580286146678	25.281302562699974	0.0015995580286146678	25.281302562699974	0.0022235840835271303	-2.6170921309003406e-4	35.14414668528133	128.92112972386826	<0	2019-08-07	38.97916	-122.70921	2.38	3.34	11:48:00	27.5	8.9	284.2	12.86	3.52	22.68	2.86
ClearLake_20190807	P1S3_3	P1S3	P1	S3	3	38.978747479	-122.709869698	ClearLake_20190807-P1S3_3	977	0	117	6.309573444801929e-5	0.9972394401831456	0.0015995580286146678	25.281302562699974	0.0015995580286146678	25.281302562699974	0.0020747348066656782	-2.6990990762392614e-4	32.791557071616246	126.41354941015055	<0	2019-08-07	38.97916	-122.70921	2.38	3.34	11:48:00	27.5	8.9	284.2	12.86	3.52	22.68	2.86
ClearLake_20190807	P2S1_1	P2S1	P2	S1	1	38.9711845268	-122.69888177	ClearLake_20190807-P2S1_1	1023	0	129	6.309573444801929e-5	0.9972394401831456	0.002228435149270303	35.22081865254401	0.002228435149270303	35.22081865254401	0.002546489816460987	-3.165081849476987e-4	40.24772991733286	133.8284953125423	<0	2019-08-07	38.97144	-122.69845	2.53	2.49	12:18:00	27.5	8.8	286.5	11.55	7.2	26.93	2.51
ClearLake_20190807	P2S1_2	P2S1	P2	S1	2	38.9711845268	-122.69888177	ClearLake_20190807-P2S1_2	1023	0	129	6.309573444801929e-5	0.9972394401831456	0.002228435149270303	35.22081865254401	0.002228435149270303	35.22081865254401	0.0026579215466395476	-3.537471365854328e-4	42.008928470516445	135.3785131507484	<0	2019-08-07	38.97144	-122.69845	2.53	2.49	12:18:00	27.5	8.8	286.5	11.55	7.2	26.93	2.51
