uniqueID	waterbody	sample	site	rep	ci
LakeSanAntonio_20190801-P1S1_1	LakeSanAntonio_20190801	P1S1_1	P1S1	1	0.0031889998470478556
LakeSanAntonio_20190801-P1S1_2	LakeSanAntonio_20190801	P1S1_2	P1S1	2	0.0035989212027126537
LakeSanAntonio_20190801-P1S1_3	LakeSanAntonio_20190801	P1S1_3	P1S1	3	0.003190462460241957
LakeSanAntonio_20190801-P1S2_1	LakeSanAntonio_20190801	P1S2_1	P1S2	1	0.003324911008744185
LakeSanAntonio_20190801-P1S2_2	LakeSanAntonio_20190801	P1S2_2	P1S2	2	0.0031607019749231567
LakeSanAntonio_20190801-P1S2_3	LakeSanAntonio_20190801	P1S2_3	P1S2	3	0.003347536641433754
LakeSanAntonio_20190801-P1S3_1	LakeSanAntonio_20190801	P1S3_1	P1S3	1	0.0030679916803923605
LakeSanAntonio_20190801-P1S3_2	LakeSanAntonio_20190801	P1S3_2	P1S3	2	0.0032389164681529783
LakeSanAntonio_20190801-P1S3_3	LakeSanAntonio_20190801	P1S3_3	P1S3	3	0.003229354210898416
LakeSanAntonio_20190801-P2S1_1	LakeSanAntonio_20190801	P2S1_1	P2S1	1	0.0014986920275204105
LakeSanAntonio_20190801-P2S1_2	LakeSanAntonio_20190801	P2S1_2	P2S1	2	0.0012754472410176
LakeSanAntonio_20190801-P2S1_3	LakeSanAntonio_20190801	P2S1_3	P2S1	3	0.001356715512430924
LakeSanAntonio_20190801-P2S2_1	LakeSanAntonio_20190801	P2S2_1	P2S2	1	6.497890568463257e-4
LakeSanAntonio_20190801-P2S2_2	LakeSanAntonio_20190801	P2S2_2	P2S2	2	6.673445317624447e-4
LakeSanAntonio_20190801-P2S2_3	LakeSanAntonio_20190801	P2S2_3	P2S2	3	5.319144492712474e-4
LakeSanAntonio_20190801-P2S3_1	LakeSanAntonio_20190801	P2S3_1	P2S3	1	3.683539246430362e-4
LakeSanAntonio_20190801-P2S3_2	LakeSanAntonio_20190801	P2S3_2	P2S3	2	8.997431804939855e-4
LakeSanAntonio_20190801-P2S3_3	LakeSanAntonio_20190801	P2S3_3	P2S3	3	8.816132452130292e-4
LakeSanAntonio_20190801-P3S1_1	LakeSanAntonio_20190801	P3S1_1	P3S1	1	0.0016776634148216662
LakeSanAntonio_20190801-P3S1_2	LakeSanAntonio_20190801	P3S1_2	P3S1	2	0.0018555106790452947
LakeSanAntonio_20190801-P3S1_3	LakeSanAntonio_20190801	P3S1_3	P3S1	3	0.0016787646579100844
LakeSanAntonio_20190801-P3S2_1	LakeSanAntonio_20190801	P3S2_1	P3S2	1	0.001693776780766584
LakeSanAntonio_20190801-P3S2_2	LakeSanAntonio_20190801	P3S2_2	P3S2	2	0.0012068678251222337
LakeSanAntonio_20190801-P3S2_3	LakeSanAntonio_20190801	P3S2_3	P3S2	3	0.0011634567522238082
LakeSanAntonio_20190801-P3S3_1	LakeSanAntonio_20190801	P3S3_1	P3S3	1	0.0016468271255967821
LakeSanAntonio_20190801-P3S3_2	LakeSanAntonio_20190801	P3S3_2	P3S3	2	0.0010021037615594137
LakeSanAntonio_20190801-P3S3_3	LakeSanAntonio_20190801	P3S3_3	P3S3	3	0.001038871331408739
SanPabloReservoir_20190812-P1S1_1	SanPabloReservoir_20190812	P1S1_1	P1S1	1	-3.517420082287527e-5
SanPabloReservoir_20190812-P1S1_2	SanPabloReservoir_20190812	P1S1_2	P1S1	2	-8.270822949816117e-5
SanPabloReservoir_20190812-P1S1_3	SanPabloReservoir_20190812	P1S1_3	P1S1	3	-8.163202758371585e-5
SanPabloReservoir_20190812-P1S2_1	SanPabloReservoir_20190812	P1S2_1	P1S2	1	-4.014814278344679e-5
SanPabloReservoir_20190812-P1S2_2	SanPabloReservoir_20190812	P1S2_2	P1S2	2	-8.788219234759652e-5
SanPabloReservoir_20190812-P1S2_3	SanPabloReservoir_20190812	P1S2_3	P1S2	3	-7.179094466570971e-5
SanPabloReservoir_20190812-P1S3_1	SanPabloReservoir_20190812	P1S3_1	P1S3	1	-7.486958243130943e-5
SanPabloReservoir_20190812-P1S3_2	SanPabloReservoir_20190812	P1S3_2	P1S3	2	-3.902446932782744e-5
SanPabloReservoir_20190812-P1S3_3	SanPabloReservoir_20190812	P1S3_3	P1S3	3	-3.687003578551891e-5
SanPabloReservoir_20190812-P2S1_1	SanPabloReservoir_20190812	P2S1_1	P2S1	1	-2.815103498456648e-5
SanPabloReservoir_20190812-P2S1_2	SanPabloReservoir_20190812	P2S1_2	P2S1	2	-1.2191574953892322e-4
SanPabloReservoir_20190812-P2S1_3	SanPabloReservoir_20190812	P2S1_3	P2S1	3	-1.148349958982962e-4
