Lon,Lat,Pixel Value
-121.140401609,37.0699091198,122
-121.137035646,37.0700267689,117
-121.133669663,37.0701443229,117
-121.130303661,37.0702617817,115
-121.126937639,37.0703791453,122
-121.123571598,37.0704964137,122
-121.120205537,37.0706135869,122
-121.116839456,37.0707306648,122
-121.113473357,37.0708476476,112
-121.110107238,37.0709645351,112
-121.106741099,37.0710813274,119
-121.103374941,37.0711980245,0
-121.100008764,37.0713146264,0
-121.096642567,37.0714311331,103
-121.093276351,37.0715475445,103
-121.153717925,37.0667403962,118
-121.150352158,37.0668584147,118
-121.146986372,37.066976338,118
-121.143620566,37.0670941661,112
-121.140254741,37.0672118991,112
-121.136888897,37.0673295368,0
-121.133523032,37.0674470794,0
-121.130157148,37.0675645267,126
-121.126791245,37.0676818789,115
-121.123425322,37.0677991359,115
-121.12005938,37.0679162977,0
-121.116693418,37.0680333642,0
-121.113327437,37.0681503356,121
-121.109961437,37.0682672118,121
-121.106595417,37.0683839927,113
-121.103229377,37.0685006785,113
-121.099863318,37.068617269,113
-121.09649724,37.0687337644,114
-121.093131143,37.0688501645,114
-121.089765026,37.0689664694,0
-121.08639889,37.0690826791,0
-121.153570602,37.0640432196,106
-121.150204954,37.0641612266,106
-121.146839286,37.0642791385,117
-121.143473599,37.0643969552,121
-121.140107893,37.0645146766,121
-121.136742167,37.0646323029,120
-121.133376421,37.0647498341,120
-121.130010656,37.06486727,120
-121.126644871,37.0649846108,120
-121.123279067,37.0651018563,126
-121.119913243,37.0652190067,114
-121.1165474,37.0653360619,114
-121.113181537,37.0654530219,123
-121.109815655,37.0655698867,123
-121.106449754,37.0656866563,121
-121.103083833,37.0658033307,121
-121.099717893,37.0659199099,121
-121.096351933,37.0660363939,118
-121.092985954,37.0661527827,118
-121.14669222,37.0615819373,124
-121.143326652,37.0616997425,117
-121.139961064,37.0618174525,117
-121.136595456,37.0619350674,134
-121.133229829,37.0620525871,134
-121.129864182,37.0621700116,133
-121.126498516,37.0622873409,133
-121.12313283,37.0624045751,127
-121.119767125,37.0625217141,127
-121.116401401,37.0626387579,127
-121.113035657,37.0627557065,131
-121.109669893,37.0628725599,131
-121.10630411,37.0629893182,131
-121.102938308,37.0631059812,131
-121.099572486,37.0632225491,120
-121.096206645,37.0633390217,120
-121.092840785,37.0634553992,120
-121.089474905,37.0635716815,101
-121.086109006,37.0636878686,101
-121.082743088,37.0638039605,0
-121.079377151,37.0639199572,0
-121.146545174,37.0588847343,143
-121.143179724,37.059002528,124
-121.139814254,37.0591202266,0
-121.136448765,37.05923783,0
-121.133083256,37.0593553383,0
-121.129717728,37.0594727514,142
-121.126352181,37.0595900693,142
-121.122986613,37.0597072921,140
-121.119621027,37.0598244197,140
-121.116255421,37.0599414521,140
-121.112889795,37.0600583893,138
-121.10952415,37.0601752314,138
-121.106158486,37.0602919783,134
-121.102792802,37.06040863,134
-121.099427099,37.0605251865,121
-121.096061377,37.0606416479,121
-121.092695635,37.060758014,121
-121.089329874,37.060874285,114
-121.085964094,37.0609904608,114
-121.146398147,37.0561875296,152
-121.143032815,37.0563053119,152
-121.139667464,37.056422999,140
-121.136302094,37.056540591,140
-121.132936704,37.0566580878,140
-121.129571294,37.0567754895,141
-121.126205865,37.056892796,141
-121.122840416,37.0570100074,147
-121.119474948,37.0571271236,147
-121.11610946,37.0572441446,143
-121.112743953,37.0573610705,143
-121.109378427,37.0574779012,143
-121.106012881,37.0575946367,127
-121.102647316,37.0577112771,127
-121.099281732,37.0578278222,0
-121.095916128,37.0579442723,0
-121.092550504,37.0580606271,0
-121.089184862,37.0581768868,118
-121.0858192,37.0582930512,118
-121.082453519,37.0584091205,120
-121.079087818,37.0585250947,120
-121.14625114,37.0534903232,147
-121.142885927,37.053608094,147
-121.139520694,37.0537257697,146
-121.136155442,37.0538433502,146
-121.13279017,37.0539608356,140
-121.129424879,37.0540782259,140
-121.126059568,37.054195521,140
-121.122694238,37.0543127209,153
-121.119328889,37.0544298257,153
-121.11596352,37.0545468354,154
-121.112598131,37.0546637499,154
-121.109232723,37.0547805692,154
-121.105867296,37.0548972934,130
-121.102501849,37.0550139224,130
-121.099136383,37.0551304562,127
-121.095770898,37.0552468949,127
