Lon	Lat	pix_val_sat	waterbody	pix_num	pixel	ci_sat	ci_mod_sat	uniqueID	sample	pix_site	rep	ci	ci_mod	pix_val	site
-122.677559039	38.9641253581	124	ClearLake_20190816	1458	CL03C	0.0019408858775927774	30.676050654811814	ClearLake_20190816-CL03C_1	CL03C_1	CL03C	1	0.0014114682951472505	22.30851046909542	112.47259394423341	CL03C
-122.677559039	38.9641253581	124	ClearLake_20190816	1458	CL03C	0.0019408858775927774	30.676050654811814	ClearLake_20190816-CL03C_2	CL03C_2	CL03C	2	0.001970975536067463	31.15162312314274	124.55676948410029	CL03C
-122.677559039	38.9641253581	124	ClearLake_20190816	1458	CL03C	0.0019408858775927774	30.676050654811814	ClearLake_20190816-CL03C_3	CL03C_3	CL03C	3	0.0016156796704361533	25.53610801358408	117.3629383690569	CL03C
-122.677559039	38.9641253581	124	ClearLake_20190816	1458	CL03C	0.0019408858775927774	30.676050654811814	ClearLake_20190816-CL03C_4	CL03C_4	CL03C	4	0.0018135190447477756	28.66299493566665	121.54351005853906	CL03C
-122.674113268	38.964293491	0	ClearLake_20190816	1459	CL03F	6.309573444801929e-5	0.9972394401831456	ClearLake_20190816-CL03F_1	CL03F_1	CL03F	1	0.002316523654032507	36.6130733262415	130.40306159537883	CL03F
-122.674113268	38.964293491	0	ClearLake_20190816	1459	CL03F	6.309573444801929e-5	0.9972394401831456	ClearLake_20190816-CL03F_2	CL03F_2	CL03F	2	0.002089627539339124	33.026939392211936	126.67240693569241	CL03F
-122.674113268	38.964293491	0	ClearLake_20190816	1459	CL03F	6.309573444801929e-5	0.9972394401831456	ClearLake_20190816-CL03F_3	CL03F_3	CL03F	3	0.0016948706394331993	26.787735532956813	119.09471303242425	CL03F
-121.197116787	40.2994530781	0	LakeAlmanor_20190815	56	P2	6.309573444801929e-5	0.9972394401831456	LakeAlmanor_20190815-P2S1_1	P2S1_1	P2S1	1	-3.6654359748518534e-4	-5.793287536100902	0	S1
-121.197116787	40.2994530781	0	LakeAlmanor_20190815	56	P2	6.309573444801929e-5	0.9972394401831456	LakeAlmanor_20190815-P2S1_2	P2S1_2	P2S1	2	-3.600756528312056e-4	-5.691060506614714	0	S1
-121.197116787	40.2994530781	0	LakeAlmanor_20190815	56	P2	6.309573444801929e-5	0.9972394401831456	LakeAlmanor_20190815-P2S1_3	P2S1_3	P2S1	3	-3.556864231022698e-4	-5.621687940687533	0	S1
-121.197116787	40.2994530781	0	LakeAlmanor_20190815	56	P2	6.309573444801929e-5	0.9972394401831456	LakeAlmanor_20190815-P2S2_1	P2S2_1	P2S2	1	-3.6717394875647956e-4	-5.803250351406936	0	S2
-121.197116787	40.2994530781	0	LakeAlmanor_20190815	56	P2	6.309573444801929e-5	0.9972394401831456	LakeAlmanor_20190815-P2S2_2	P2S2_2	P2S2	2	-3.1783921762184447e-4	-5.023506045572424	0	S2
-121.197116787	40.2994530781	0	LakeAlmanor_20190815	56	P2	6.309573444801929e-5	0.9972394401831456	LakeAlmanor_20190815-P2S2_3	P2S2_3	P2S2	3	-3.233684499120837e-4	-5.1108965571814675	0	S2
-121.197116787	40.2994530781	0	LakeAlmanor_20190815	56	P2	6.309573444801929e-5	0.9972394401831456	LakeAlmanor_20190815-P2S3_1	P2S3_1	P2S3	1	-4.105124423611599e-4	-6.488223043757757	0	S3
-121.197116787	40.2994530781	0	LakeAlmanor_20190815	56	P2	6.309573444801929e-5	0.9972394401831456	LakeAlmanor_20190815-P2S3_2	P2S3_2	P2S3	2	-3.820775179528918e-4	-6.038803945198687	0	S3
-121.197116787	40.2994530781	0	LakeAlmanor_20190815	56	P2	6.309573444801929e-5	0.9972394401831456	LakeAlmanor_20190815-P2S3_3	P2S3_3	P2S3	3	-3.9461167334128324e-4	-6.236908527260183	0	S3
-121.19326238	40.2941898679	0	LakeAlmanor_20190815	87	P1	6.309573444801929e-5	0.9972394401831456	LakeAlmanor_20190815-P1S1_1	P1S1_1	P1S1	1	-4.4642035113437516e-4	-7.055754005342004	0	S1
-121.19326238	40.2941898679	0	LakeAlmanor_20190815	87	P1	6.309573444801929e-5	0.9972394401831456	LakeAlmanor_20190815-P1S1_2	P1S1_2	P1S1	2	-4.3132956622067727e-4	-6.817241433439724	0	S1
-121.19326238	40.2941898679	0	LakeAlmanor_20190815	87	P1	6.309573444801929e-5	0.9972394401831456	LakeAlmanor_20190815-P1S1_3	P1S1_3	P1S1	3	-3.9622409977076135e-4	-6.262393217214842	0	S1
-121.19326238	40.2941898679	0	LakeAlmanor_20190815	87	P1	6.309573444801929e-5	0.9972394401831456	LakeAlmanor_20190815-P1S2_1	P1S2_1	P1S2	1	-4.0502698082794367e-4	-6.401524336842199	0	S2
-121.19326238	40.2941898679	0	LakeAlmanor_20190815	87	P1	6.309573444801929e-5	0.9972394401831456	LakeAlmanor_20190815-P1S2_2	P1S2_2	P1S2	2	-4.3017323767336423e-4	-6.798965452610303	0	S2
-121.19326238	40.2941898679	0	LakeAlmanor_20190815	87	P1	6.309573444801929e-5	0.9972394401831456	LakeAlmanor_20190815-P1S2_3	P1S2_3	P1S2	3	-4.015174993513229e-4	-6.346056350397541	0	S2
-121.19326238	40.2941898679	0	LakeAlmanor_20190815	87	P1	6.309573444801929e-5	0.9972394401831456	LakeAlmanor_20190815-P1S3_1	P1S3_1	P1S3	1	-3.837760913147049e-4	-6.065650202925347	0	S3
