Lon,Lat,Cicyano,,Lon,Lat,CI,,LonTF,LatTF,ValueTF,Cicyano > Ci,Cicyano > 0,CI > 0,Cicyano > Ci
-122.7135329,38.98126819,0,,-122.7135329,38.98126819,91,,TRUE,TRUE,FALSE,FALSE,,,
-122.7100865,38.98143745,0,,-122.7100865,38.98143745,89,,TRUE,TRUE,FALSE,FALSE,,,
-122.7027606,38.97639565,0,,-122.7027606,38.97639565,116,,TRUE,TRUE,FALSE,FALSE,,,
-122.6889756,38.97707073,0,,-122.6889756,38.97707073,145,,TRUE,TRUE,FALSE,FALSE,,,
-122.7301118,38.97235076,0,,-122.7301118,38.97235076,142,,TRUE,TRUE,FALSE,FALSE,,,
-122.7266659,38.97252048,0,,-122.7266659,38.97252048,142,,TRUE,TRUE,FALSE,FALSE,,,
-122.7059902,38.97353664,0,,-122.7059902,38.97353664,121,,TRUE,TRUE,FALSE,FALSE,,,
-122.6887596,38.97438066,0,,-122.6887596,38.97438066,139,,TRUE,TRUE,FALSE,FALSE,,,
-122.6915578,38.96614188,0,,-122.6915578,38.96614188,119,,TRUE,TRUE,FALSE,FALSE,,,
-122.688112,38.96631043,0,,-122.688112,38.96631043,114,,TRUE,TRUE,FALSE,FALSE,,,
-122.6842348,38.96109869,0,,-122.6842348,38.96109869,121,,TRUE,TRUE,FALSE,FALSE,,,
-122.6665766,38.95655891,0,,-122.6665766,38.95655891,131,,TRUE,TRUE,FALSE,FALSE,,,
-122.6631312,38.95672669,0,,-122.6631312,38.95672669,130,,TRUE,TRUE,FALSE,FALSE,,,
-122.683588,38.95302838,0,,-122.683588,38.95302838,133,,TRUE,TRUE,FALSE,FALSE,,,
-122.6732523,38.95353289,0,,-122.6732523,38.95353289,137,,TRUE,TRUE,FALSE,FALSE,,,
-122.6592563,38.95151394,0,,-122.6592563,38.95151394,130,,TRUE,TRUE,FALSE,FALSE,,,
-122.668947,38.94294016,0,,-122.668947,38.94294016,141,,TRUE,TRUE,FALSE,FALSE,,,
-122.6409601,38.93889913,0,,-122.6409601,38.93889913,144,,TRUE,TRUE,FALSE,FALSE,,,
-122.8666283,39.11677028,0,,-122.8666283,39.11677028,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8528199,39.1174668,0,,-122.8528199,39.1174668,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8698564,39.11390675,0,,-122.8698564,39.11390675,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8664045,39.11408112,0,,-122.8664045,39.11408112,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8629526,39.11425539,0,,-122.8629526,39.11425539,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8595007,39.11442955,0,,-122.8595007,39.11442955,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8560487,39.11460361,0,,-122.8560487,39.11460361,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8525967,39.11477757,0,,-122.8525967,39.11477757,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8491447,39.11495143,0,,-122.8491447,39.11495143,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8765359,39.1108686,0,,-122.8765359,39.1108686,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8730842,39.11104316,0,,-122.8730842,39.11104316,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8696325,39.11121761,0,,-122.8696325,39.11121761,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8661808,39.11139196,0,,-122.8661808,39.11139196,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.862729,39.11156621,0,,-122.862729,39.11156621,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8592772,39.11174035,0,,-122.8592772,39.11174035,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8558253,39.1119144,0,,-122.8558253,39.1119144,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8523735,39.11208834,0,,-122.8523735,39.11208834,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8763118,39.10817949,0,,-122.8763118,39.10817949,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8728603,39.10835402,0,,-122.8728603,39.10835402,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8625054,39.10887702,0,,-122.8625054,39.10887702,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8590537,39.10905115,0,,-122.8590537,39.10905115,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.855602,39.10922518,0,,-122.855602,39.10922518,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8521503,39.10939911,0,,-122.8521503,39.10939911,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8348911,39.11026722,0,,-122.8348911,39.11026722,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8314392,39.11044054,0,,-122.8314392,39.11044054,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8795392,39.10531575,0,,-122.8795392,39.10531575,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8760878,39.10549037,0,,-122.8760878,39.10549037,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8622818,39.10618784,0,,-122.8622818,39.10618784,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8588303,39.10636195,0,,-122.8588303,39.10636195,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8553787,39.10653596,0,,-122.8553787,39.10653596,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8519271,39.10670987,0,,-122.8519271,39.10670987,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8484755,39.10688368,0,,-122.8484755,39.10688368,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8346686,39.1075779,0,,-122.8346686,39.1075779,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8312168,39.1077512,0,,-122.8312168,39.1077512,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.827765,39.1079244,0,,-122.827765,39.1079244,0,,TRUE,TRUE,TRUE,FALSE,,,
