Lon,Lat,Pixel Value
-122.871964673,39.0975974718,103
-122.868513602,39.0977718401,114
-122.865062501,39.0979461068,114
-122.861611369,39.0981202721,67
-122.858160208,39.0982943358,0
-122.854709017,39.0984682981,64
-122.851257797,39.0986421588,75
-122.847806546,39.0988159179,99
-122.844355266,39.0989895756,90
-122.840903955,39.0991631317,101
-122.837452615,39.0993365864,85
-122.834001246,39.0995099394,107
-122.830549846,39.099683191,88
-122.827098417,39.099856341,103
-122.823646958,39.1000293895,118
-122.820195469,39.1002023364,91
-122.816743951,39.1003751818,96
-122.813292403,39.1005479256,116
-122.895896604,39.0936850247,116
-122.892445872,39.0938600868,115
-122.88899511,39.0940350474,99
-122.885544318,39.0942099065,94
-122.882093497,39.0943846641,107
-122.878642645,39.0945593202,106
-122.875191763,39.0947338749,103
-122.871740851,39.094908328,91
-122.868289909,39.0950826797,79
-122.864838938,39.0952569298,72
-122.861387936,39.0954310785,78
-122.857936905,39.0956051256,38
-122.854485844,39.0957790713,60
-122.851034753,39.0959529154,87
-122.847583632,39.0961266581,87
-122.844132481,39.0963002992,98
-122.840681301,39.0964738388,105
-122.83723009,39.0966472769,109
-122.83377885,39.0968206134,94
-122.830327581,39.0969938485,102
-122.826876281,39.097166982,105
-122.823424952,39.097340014,116
-122.819973593,39.0975129444,105
-122.816522204,39.0976857733,106
-122.813070786,39.0978585007,112
-122.899122476,39.0908208483,101
-122.895671904,39.0909959951,111
-122.892221302,39.0911710405,115
-122.88877067,39.0913459844,103
-122.885320008,39.0915208269,108
-122.881869315,39.0916955679,98
-122.878418593,39.0918702074,102
-122.874967841,39.0920447454,96
-122.871517059,39.0922191819,90
-122.868066247,39.0923935169,96
-122.864615405,39.0925677505,71
-122.861164533,39.0927418826,81
-122.857713632,39.0929159131,76
-122.8542627,39.0930898422,87
-122.850811739,39.0932636698,83
-122.847360748,39.0934373959,84
-122.843909727,39.0936110204,92
-122.840458676,39.0937845435,102
-122.837007595,39.0939579651,106
-122.833556485,39.0941312851,107
-122.830105345,39.0943045036,110
-122.826654175,39.0944776206,109
-122.823202976,39.0946506361,93
-122.819751747,39.0948235501,110
-122.816300488,39.0949963626,104
-122.812849199,39.0951690735,101
-122.809397881,39.0953416829,99
-122.898897677,39.0881318331,99
-122.895447234,39.0883069633,114
-122.891996762,39.088481992,114
-122.888546259,39.0886569192,111
-122.885095727,39.088831745,109
-122.881645164,39.0890064693,80
-122.878194572,39.0891810922,93
-122.874743949,39.0893556136,94
-122.871293297,39.0895300335,67
-122.867842614,39.0897043519,43
-122.864391902,39.0898785688,91
-122.86094116,39.0900526843,57
-122.857490388,39.0902266983,96
-122.854039586,39.0904006108,93
-122.850588754,39.0905744218,89
-122.847137893,39.0907481314,96
-122.843687002,39.0909217394,111
-122.840236081,39.0910952459,108
-122.83678513,39.0912686509,107
-122.833334149,39.0914419545,113
-122.829883139,39.0916151565,111
-122.826432099,39.091788257,105
-122.822981029,39.091961256,109
-122.81952993,39.0921341535,104
-122.816078801,39.0923069495,103
-122.812627642,39.092479644,85
-122.809176454,39.0926522369,111
-122.805725236,39.0928247283,126
-122.895222595,39.085617929,112
-122.891772252,39.0857929411,109
-122.888321879,39.0859678516,116
-122.884871476,39.0861426608,109
-122.881421043,39.0863173684,86
-122.87797058,39.0864919747,107
-122.874520087,39.0866664794,67
-122.871069564,39.0868408827,97
-122.867619012,39.0870151845,71
-122.864168429,39.0871893849,84
-122.860717817,39.0873634838,69
-122.857267174,39.0875374812,79
-122.853816502,39.0877113771,76
-122.8503658,39.0878851716,88
-122.846915068,39.0880588645,77
-122.843464307,39.088232456,100
-122.840013515,39.088405946,115
-122.836562694,39.0885793345,112
-122.833111843,39.0887526215,112
-122.829660963,39.0889258071,112
-122.826210052,39.0890988911,112
-122.822759112,39.0892718736,106
-122.819308142,39.0894447546,116
-122.815857143,39.0896175341,114
-122.812406114,39.0897902122,112
-122.808955055,39.0899627886,116
-122.805503967,39.0901352636,115
-122.802052849,39.0903076371,128
-122.898448168,39.0827537957,126
-122.894997985,39.0829288925,121
-122.891547771,39.0831038878,116
-122.888097528,39.0832787818,116
-122.884647255,39.0834535742,102
-122.881196952,39.0836282653,99
-122.877746618,39.0838028548,96
-122.874296255,39.083977343,95
-122.870845862,39.0841517296,65
