Lon,Lat,Pixel Value
-122.899122476,39.0908208483,99
-122.895671904,39.0909959951,114
-122.892221302,39.0911710405,114
-122.88877067,39.0913459844,111
-122.885320008,39.0915208269,109
-122.881869315,39.0916955679,80
-122.878418593,39.0918702074,93
-122.874967841,39.0920447454,94
-122.871517059,39.0922191819,67
-122.868066247,39.0923935169,43
-122.864615405,39.0925677505,91
-122.861164533,39.0927418826,57
-122.857713632,39.0929159131,96
-122.8542627,39.0930898422,93
-122.850811739,39.0932636698,89
-122.847360748,39.0934373959,96
-122.843909727,39.0936110204,111
-122.840458676,39.0937845435,108
-122.837007595,39.0939579651,107
-122.833556485,39.0941312851,113
-122.830105345,39.0943045036,111
-122.826654175,39.0944776206,105
-122.823202976,39.0946506361,109
-122.819751747,39.0948235501,104
-122.816300488,39.0949963626,103
-122.812849199,39.0951690735,85
-122.809397881,39.0953416829,111
-122.805946533,39.0955141907,126
-122.895447234,39.0883069633,112
-122.891996762,39.088481992,109
-122.888546259,39.0886569192,116
-122.885095727,39.088831745,109
-122.881645164,39.0890064693,86
-122.878194572,39.0891810922,107
-122.874743949,39.0893556136,67
-122.871293297,39.0895300335,97
-122.867842614,39.0897043519,71
-122.864391902,39.0898785688,84
-122.86094116,39.0900526843,69
-122.857490388,39.0902266983,79
-122.854039586,39.0904006108,76
-122.850588754,39.0905744218,88
-122.847137893,39.0907481314,77
-122.843687002,39.0909217394,100
-122.840236081,39.0910952459,115
-122.83678513,39.0912686509,112
-122.833334149,39.0914419545,112
-122.829883139,39.0916151565,112
-122.826432099,39.091788257,112
-122.822981029,39.091961256,106
-122.81952993,39.0921341535,116
-122.816078801,39.0923069495,114
-122.812627642,39.092479644,112
-122.809176454,39.0926522369,116
-122.805725236,39.0928247283,115
-122.802273988,39.0929971182,128
-122.898672907,39.0854428156,126
-122.895222595,39.085617929,121
-122.891772252,39.0857929411,116
-122.888321879,39.0859678516,116
-122.884871476,39.0861426608,102
-122.881421043,39.0863173684,99
-122.87797058,39.0864919747,96
-122.874520087,39.0866664794,95
-122.871069564,39.0868408827,65
-122.867619012,39.0870151845,31
-122.864168429,39.0871893849,91
-122.860717817,39.0873634838,108
-122.857267174,39.0875374812,75
-122.853816502,39.0877113771,91
-122.8503658,39.0878851716,93
-122.846915068,39.0880588645,100
-122.843464307,39.088232456,91
-122.840013515,39.088405946,87
-122.836562694,39.0885793345,91
-122.833111843,39.0887526215,97
-122.829660963,39.0889258071,118
-122.826210052,39.0890988911,120
-122.822759112,39.0892718736,105
-122.819308142,39.0894447546,115
-122.815857143,39.0896175341,94
-122.812406114,39.0897902122,93
-122.808955055,39.0899627886,108
-122.805503967,39.0901352636,98
-122.802052849,39.0903076371,98
-122.901898321,39.0825785975,106
-122.898448168,39.0827537957,109
-122.894997985,39.0829288925,107
-122.891547771,39.0831038878,105
-122.888097528,39.0832787818,103
-122.884647255,39.0834535742,107
-122.881196952,39.0836282653,112
-122.877746618,39.0838028548,93
-122.874296255,39.083977343,70
-122.870845862,39.0841517296,65
-122.867395439,39.0843260148,63
-122.863944986,39.0845001986,31
-122.860494503,39.0846742809,59
-122.85704399,39.0848482617,70
-122.853593448,39.0850221411,89
-122.850142875,39.085195919,84
-122.846692273,39.0853695954,98
-122.843241641,39.0855431703,109
-122.83979098,39.0857166438,108
-122.836340288,39.0858900158,116
-122.832889567,39.0860632863,107
-122.829438816,39.0862364553,109
-122.825988035,39.0864095228,100
-122.822537225,39.0865824889,109
-122.819086385,39.0867553534,116
-122.815635515,39.0869281165,118
-122.812184616,39.087100778,124
-122.808733687,39.0872733381,119
-122.805282729,39.0874457966,106
-122.80183174,39.0876181537,106
-122.798380723,39.0877904092,112
-122.901673482,39.079889592,111
-122.898223459,39.0800647735,97
-122.894773405,39.0802398536,98
-122.891323321,39.0804148323,117
-122.887873208,39.0805897095,107
-122.884423064,39.0807644854,104
-122.88097289,39.0809391597,110
-122.877522686,39.0811137327,111
-122.874072453,39.0812882042,74
-122.870622189,39.0814625742,80
-122.867171896,39.0816368428,88
-122.863721573,39.08181101,97
-122.860271219,39.0819850757,69
-122.856820836,39.08215904,98
-122.853370423,39.0823329027,83
-122.849919981,39.0825066641,109
-122.846469508,39.0826803239,93
-122.843019006,39.0828538824,98
-122.839568474,39.0830273393,123
-122.836117912,39.0832006948,109
-122.83266732,39.0833739488,119
-122.829216699,39.0835471013,119
-122.825766048,39.0837201523,123
-122.822315367,39.0838931019,117
-122.818864657,39.0840659499,117
-122.815413917,39.0842386965,119
-122.811963147,39.0844113416,120
-122.808512348,39.0845838852,116
-122.805061519,39.0847563273,104
-122.801610661,39.084928668,107
-122.798159773,39.0851009071,104
-122.904898538,39.0770253179,108
-122.901448674,39.0772005841,111
-122.89799878,39.077375749,94
-122.894548855,39.0775508124,98
-122.891098901,39.0777257744,79
-122.887648917,39.077900635,112
-122.884198903,39.0780753942,102
-122.880748859,39.0782500519,118
-122.877298785,39.0784246082,94
-122.873848681,39.0785990631,118
-122.870398547,39.0787734165,113
-122.866948383,39.0789476685,99
-122.863498189,39.0791218191,74
-122.860047966,39.0792958682,106
-122.856597712,39.0794698159,95
-122.853147429,39.0796436621,87
-122.849697116,39.0798174069,91
-122.846246773,39.0799910502,87
-122.8427964,39.0801645921,94
-122.839345998,39.0803380325,106
-122.835895565,39.0805113714,103
-122.832445104,39.0806846089,108
-122.828994612,39.0808577449,110
-122.825544091,39.0810307795,113
-122.82209354,39.0812037125,116
-122.818642959,39.0813765441,112
-122.815192349,39.0815492743,115
-122.811741709,39.0817219029,121
-122.808291039,39.0818944301,117
-122.80484034,39.0820668557,112
-122.801389611,39.0822391799,105
-122.797938853,39.0824114026,101
-122.794488065,39.0825835238,112
-122.904673629,39.0743363244,103
-122.901223895,39.074511574,62
-122.89777413,39.0746867221,104
-122.894324336,39.0748617689,109
-122.890874511,39.0750367142,110
-122.887424657,39.0752115581,115
-122.883974772,39.0753863006,107
-122.880524857,39.0755609417,117
-122.877074913,39.0757354814,119
-122.873624938,39.0759099196,117
-122.870174934,39.0760842565,116
-122.8667249,39.0762584919,101
-122.863274836,39.0764326258,108
-122.859824742,39.0766066584,104
-122.856374618,39.0767805895,106
-122.852924464,39.0769544191,95
-122.849474281,39.0771281473,90
-122.846024067,39.0773017741,114
-122.842573824,39.0774752994,90
-122.839123551,39.0776487233,108
-122.835673249,39.0778220458,79
-122.832222916,39.0779952667,106
-122.828772554,39.0781683863,117
-122.825322163,39.0783414043,121
-122.821871741,39.0785143209,114
-122.81842129,39.078687136,109
-122.81497081,39.0788598497,117
-122.811520299,39.0790324619,103
-122.808069759,39.0792049726,119
-122.80461919,39.0793773819,113
-122.801168591,39.0795496896,106
-122.797717962,39.0797218959,107
-122.794267304,39.0798940007,107
-122.790816616,39.080066004,116
-122.907898326,39.0714719944,105
-122.904448751,39.0716473286,102
-122.900999146,39.0718225615,97
-122.897549511,39.0719976929,91
-122.894099846,39.072172723,106
-122.890650151,39.0723476517,101
-122.887200426,39.0725224789,111
-122.883750671,39.0726972048,100
-122.880300886,39.0728718292,104
-122.876851071,39.0730463523,101
-122.873401226,39.0732207739,117
-122.869951351,39.0733950941,119
-122.866501446,39.0735693129,101
-122.863051512,39.0737434303,122
-122.859601547,39.0739174462,103
-122.856151553,39.0740913608,120
-122.852701529,39.0742651738,104
-122.849251475,39.0744388855,112
-122.845801391,39.0746124957,110
-122.842351278,39.0747860045,90
-122.838901135,39.0749594119,106
-122.835450962,39.0751327178,106
-122.832000759,39.0753059223,108
-122.828550527,39.0754790253,119
-122.825100265,39.0756520269,115
-122.821649973,39.075824927,102
-122.818199651,39.0759977256,113
-122.8147493,39.0761704228,112
-122.81129892,39.0763430186,122
-122.807848509,39.0765155129,124
-122.804398069,39.0766879057,127
-122.8009476,39.076860197,119
-122.797497101,39.0770323869,109
-122.794046573,39.0772044753,107
-122.790596014,39.0773764622,115
-122.787145427,39.0775483477,132
-122.907673349,39.0687830129,110
-122.904223903,39.0689583305,67
-122.900774428,39.0691335466,107
-122.897324922,39.0693086614,92
-122.893875386,39.0694836748,95
-122.890425821,39.0696585868,103
-122.886976225,39.0698333974,95
-122.8835266,39.0700081066,109
-122.880076944,39.0701827144,93
-122.876627259,39.0703572208,111
-122.873177544,39.0705316258,103
-122.869727798,39.0707059294,115
-122.866278023,39.0708801316,114
-122.862828218,39.0710542324,121
-122.859378383,39.0712282318,118
-122.855928518,39.0714021297,127
-122.852478624,39.0715759263,117
-122.8490287,39.0717496214,109
-122.845578745,39.071923215,123
-122.842128762,39.0720967073,114
-122.838678748,39.0722700981,111
-122.835228704,39.0724433875,109
-122.831778631,39.0726165755,103
-122.828328529,39.072789662,123
-122.824878396,39.0729626471,125
-122.821428234,39.0731355307,114
-122.817978042,39.0733083129,120
-122.814527821,39.0734809937,112
-122.81107757,39.073653573,115
-122.807627289,39.0738260508,132
-122.804176979,39.0739984272,125
-122.800726639,39.0741707021,128
-122.797276269,39.0743428756,116
-122.793825871,39.0745149476,108
-122.790375442,39.0746869181,114
-122.907448401,39.0660940292,112
-122.903999085,39.06626933,105
-122.900549739,39.0664445295,96
-122.897100363,39.0666196276,99
-122.893650957,39.0667946243,102
-122.890201521,39.0669695196,102
-122.886752055,39.0671443135,92
-122.883302559,39.0673190061,118
-122.879853033,39.0674935973,109
-122.876403477,39.0676680871,112
-122.872953891,39.0678424754,119
-122.869504275,39.0680167624,120
-122.86605463,39.068190948,124
-122.862604954,39.0683650322,125
-122.859155249,39.068539015,129
-122.855705514,39.0687128964,127
-122.852255749,39.0688866763,118
-122.848805954,39.0690603549,124
-122.845356129,39.069233932,116
-122.841906275,39.0694074078,114
-122.838456391,39.0695807821,121
-122.835006477,39.069754055,117
-122.831556533,39.0699272264,124
-122.82810656,39.0701002964,123
-122.824656557,39.070273265,109
-122.821206525,39.0704461322,118
-122.817756462,39.0706188979,119
-122.814306371,39.0707915622,125
-122.810856249,39.0709641251,130
-122.807406098,39.0711365865,127
-122.803955917,39.0713089464,126
-122.800505707,39.0714812049,124
-122.797055467,39.071653362,119
-122.793605198,39.0718254176,115
-122.790154899,39.0719973717,114
-122.786704571,39.0721692244,124
-122.907223483,39.0634050431,115
-122.903774297,39.0635803272,101
-122.90032508,39.06375551,82
-122.896875834,39.0639305914,101
-122.893426557,39.0641055714,99
-122.889977251,39.0642804501,102
-122.886527914,39.0644552274,118
-122.883078548,39.0646299033,105
-122.879629151,39.0648044778,109
-122.876179725,39.064978951,115
-122.872730268,39.0651533227,125
-122.869280782,39.0653275931,114
-122.865831266,39.0655017621,125
-122.86238172,39.0656758297,127
-122.858932144,39.0658497959,124
-122.855482538,39.0660236607,128
-122.852032903,39.0661974241,125
-122.848583238,39.0663710861,121
-122.845133543,39.0665446467,122
-122.841683818,39.0667181059,111
-122.838234063,39.0668914637,113
-122.834784279,39.0670647201,119
-122.831334465,39.067237875,113
-122.827884621,39.0674109286,109
-122.824434748,39.0675838807,123
-122.820984845,39.0677567314,104
-122.817534912,39.0679294806,120
-122.81408495,39.0681021284,121
-122.810634958,39.0682746749,130
-122.807184937,39.0684471198,133
-122.803734886,39.0686194633,122
-122.800284805,39.0687917054,125
-122.796834695,39.0689638461,117
-122.793384555,39.0691358853,116
-122.789934386,39.069307823,108
-122.786484187,39.0694796594,113
-122.783033959,39.0696513942,146
-122.910447623,39.0605406859,129
-122.906998596,39.0607160547,108
